iter	Logloss
0	0.5784418645
1	0.4906223093
2	0.4119333225
3	0.327851114
4	0.2973590522
5	0.2401027704
6	0.2223011677
7	0.1985255217
8	0.1900330043
9	0.1734806908
10	0.1661204707
11	0.1623551739
12	0.1577418774
13	0.1390053827
14	0.1347524669
15	0.1322038452
16	0.1289220382
17	0.1222595555
18	0.1184133396
19	0.1157816688
20	0.1123905293
21	0.1102952566
22	0.1075638424
23	0.105318164
24	0.1026746991
25	0.1003459774
26	0.09829412004
27	0.09696331334
28	0.09056107884
29	0.08870853495
30	0.08822976021
31	0.08666224374
32	0.08329257574
33	0.08207592198
34	0.0816738278
35	0.07998387116
36	0.07856603515
37	0.07690975055
38	0.07617846674
39	0.07521088308
40	0.07312751723
41	0.07184104239
42	0.07125850802
43	0.07069283903
44	0.06976369425
45	0.0686095837
46	0.06730652253
47	0.06631073953
48	0.06531680823
49	0.06388991144
50	0.06290312557
51	0.06243534316
52	0.06216922516
53	0.06156833447
54	0.06108082889
55	0.060783596
56	0.0601916665
57	0.05939864183
58	0.05863539262
59	0.05698143783
60	0.05630510045
61	0.05567821543
62	0.05510479897
63	0.05185707015
64	0.05104074667
65	0.05006371067
66	0.04885270255
67	0.0474809623
68	0.04671926365
69	0.0437157243
70	0.04303286299
71	0.04253745818
72	0.0419981955
73	0.04143821333
74	0.03942282801
75	0.03911962718
76	0.03824193525
77	0.03775436291
78	0.03707197619
79	0.03672008575
80	0.03604376568
81	0.03527155675
82	0.03469044305
83	0.0339386188
84	0.03312181111
85	0.03286623821
86	0.03208444929
87	0.03183137794
88	0.03142655494
89	0.03118054215
90	0.02911381781
91	0.028878426
92	0.02852989583
93	0.02788257769
94	0.02740305644
95	0.0269283794
96	0.02656427301
97	0.02636664399
98	0.02592837348
99	0.02561633413
100	0.0252629326
101	0.02377990645
102	0.02330733846
103	0.02304688989
104	0.02267263192
105	0.02251083046
106	0.02213983708
107	0.02180478342
108	0.02161215296
109	0.02142823256
110	0.02106124643
111	0.02093166982
112	0.02058607763
113	0.02030700036
114	0.02007700929
115	0.01986279272
116	0.01949230364
117	0.01931964339
118	0.0190761736
119	0.01803413374
120	0.01782218415
121	0.01748887296
122	0.01671326191
123	0.01651538628
124	0.01635037184
125	0.01615557545
126	0.01588113491
127	0.01576154242
128	0.01568975307
129	0.01548895906
130	0.01528797233
131	0.01516344224
132	0.01500496319
133	0.01487170848
134	0.01475995452
135	0.01461288554
136	0.01450732506
137	0.01434260005
138	0.01372515777
139	0.01348621859
140	0.01297315925
141	0.01286967968
142	0.01273195006
143	0.01267608757
144	0.01251572898
145	0.01243802862
146	0.01234968445
147	0.01216272321
148	0.012143203
149	0.01197416897
150	0.01189901386
151	0.01177202469
152	0.0116685493
153	0.01157630528
154	0.01155872208
155	0.01146137251
156	0.01138326668
157	0.01124710575
158	0.01111378156
159	0.01106073094
160	0.01098182833
161	0.01092881399
162	0.01083409297
163	0.01060189735
164	0.0105398882
165	0.01039548504
166	0.01032504161
167	0.01026549027
168	0.01019316729
169	0.01014781834
170	0.01009735358
171	0.009950842307
172	0.009864074133
173	0.009808905471
174	0.009687001689
175	0.009608118794
176	0.009555126485
177	0.009405733928
178	0.009324803916
179	0.009256116546
180	0.009174641277
181	0.009070009073
182	0.00875124844
183	0.008651952778
184	0.008556477291
185	0.008492981604
186	0.008436373494
187	0.008378519946
188	0.008341791594
189	0.008282688794
190	0.008241637984
191	0.008159390962
192	0.008122984873
193	0.008059489331
194	0.008002492445
195	0.007914672791
196	0.007830885201
197	0.007782690333
198	0.007714768681
199	0.007658048258
